LTE,272,5,40100,294146,0,-6.2876,53.3472,1261,17,1,1556531645,1729448223,0
LTE,272,3,40072,10572555,0,-6.4356,53.2933,1482,79,1,1562254383,1720070716,0
LTE,272,5,40102,336642,0,-6.2696,53.3468,1000,5,1,1563207261,1734722102,0
LTE,272,5,40100,294144,0,-6.2796,53.348,1000,8,1,1563207427,1729448223,0
LTE,272,5,40100,294145,0,-6.2815,53.3463,1000,13,1,1563293773,1729448223,0
LTE,272,5,40100,294166,0,-6.2847,53.3467,1000,13,1,1563347174,1711034849,0
LTE,272,3,40052,10501900,0,-6.2441,53.3379,1000,4,1,1563553532,1729358768,0
LTE,272,5,42600,336902,0,-9.0547,51.7318,12956,5,1,1564060357,1720463291,0
LTE,272,3,4006,10515213,0,-6.2311,53.359,1209,11,1,1564142198,1729448227,0
LTE,272,3,40052,10501890,0,-6.2435,53.3377,1000,3,1,1564942757,1729358768,0
LTE,272,3,40111,10565131,0,-6.4407,53.3509,1179,7,1,1566101022,1729185080,0
LTE,272,3,40111,11141890,0,-6.4685,53.3578,3156,12,1,1566101297,1729284962,0
LTE,272,5,40100,294165,0,-6.2767,53.3459,1030,11,1,1566979333,1711034849,0
UMTS,272,2,30100,48527252,205,-6.2709,53.3431,1000,10,1,1568750795,1729358710,0
GSM,272,3,10103,1343,-1,-7.0257,52.6826,6014,200,1,1569574052,1704270189,0
GSM,272,3,10103,1357,-1,-6.8625,52.9197,3323,75,1,1569575102,1704270192,0
GSM,272,3,10103,3836,-1,-6.8563,52.9475,5488,66,1,1569575243,1704270192,0
LTE,272,3,4004,10557442,0,-7.6666,52.894,7139,3,1,1570022742,1741095068,0
LTE,272,5,41401,433160,-1,-7.0658,53.4453,4018,50,1,1571144361,1729285029,0
LTE,272,5,41401,433154,-1,-7.0363,53.4429,922,30,1,1571144541,1729285029,0
LTE,272,5,41401,433153,-1,-6.9969,53.4322,2577,28,1,1571144661,1729285029,0
LTE,272,5,41401,438790,-1,-6.9195,53.4234,1290,57,1,1571144781,1711034845,0
LTE,272,5,41401,438785,-1,-6.8755,53.4119,1972,50,1,1571188465,1729285031,0
LTE,272,5,41401,438784,-1,-6.9139,53.4212,1979,31,1,1571188555,1729285030,0
LTE,272,5,41401,447253,-1,-7.1085,53.453,2577,28,1,1571188885,1711034770,0
LTE,272,5,41401,454421,-1,-7.0975,53.4495,1417,49,1,1571188895,1729285028,0
LTE,272,5,41401,454422,-1,-7.1208,53.4526,1197,74,1,1571188965,1711034843,0
LTE,272,5,41401,454408,-1,-7.127,53.456,1918,39,1,1571657298,1729285028,0
LTE,272,3,40101,11375885,0,-7.2561,52.6627,1183,26,1,1571755094,1737066362,0
LTE,272,3,40052,10521099,-1,-6.2517,53.3432,944,50,1,1571618492,1729358768,0
LTE,272,3,40071,10558476,-1,-6.325,53.3332,1000,11,1,1572437441,1704270197,0
LTE,272,3,40071,10522381,-1,-6.3475,53.3909,1003,50,1,1572872226,1729284966,0
LTE,272,3,4006,10540299,-1,-6.2371,53.3886,4502,19,1,1573035864,1737933668,0
LTE,272,3,4006,10521613,-1,-6.2339,53.4023,1319,49,1,1573036125,1730135723,0
LTE,272,3,40072,11093517,-1,-6.4072,53.307,1000,65,1,1574652601,1704270197,0
LTE,272,3,40072,10547979,-1,-6.4149,53.3037,1000,52,1,1574652641,1704270197,0
LTE,272,3,40072,10572556,-1,-6.4257,53.2968,1730,34,1,1574652661,1741095066,0
LTE,272,3,40072,10560013,-1,-6.4607,53.2847,1000,84,1,1574652791,1716352753,0
LTE,272,3,40111,10702348,-1,-6.4742,53.2824,5296,49,1,1574652831,1741095066,0
LTE,272,3,40111,11432964,-1,-6.5636,53.2555,1292,17,1,1574677492,1742145122,0
LTE,272,3,40052,10607118,-1,-6.2654,53.3426,1000,10,1,1574818303,1729358767,0
LTE,272,3,40052,10517773,-1,-6.2482,53.348,1000,36,1,1574905676,1704270197,0
LTE,272,3,40052,10502156,-1,-6.2055,53.3292,5294,5,1,1575031096,1730135720,0
LTE,272,3,40122,11016961,0,-8.3898,51.9439,2722,42,1,1579626095,1727501715,0
LTE,272,5,40204,811542,0,-6.2141,53.3416,1000,8,1,1583423968,1729548783,0
LTE,272,5,40100,346368,0,-6.2873,53.356,1000,7,1,1585913535,1729448223,0
LTE,272,5,40100,308226,0,-6.2823,53.35,1000,8,1,1587814848,1729448223,0
LTE,272,5,40100,823810,0,-6.2818,53.3509,1000,9,1,1587814899,1729448223,0
LTE,272,3,40112,11133697,0,-8.9214,53.2744,1000,14,1,1588000461,1729284901,0
LTE,272,3,40112,10829580,0,-8.974,53.3002,5054,13,1,1588000857,1729284850,0
LTE,272,3,4006,10497036,0,-6.262,53.3523,1000,28,1,1593960960,1704270182,0
LTE,272,3,4006,10497026,0,-6.2624,53.3515,1000,5,1,1593961025,1729358768,0
LTE,272,3,40052,10498572,0,-6.2636,53.3504,1000,8,1,1593970999,1729448233,0
LTE,272,3,40052,10507335,0,-6.2656,53.3506,1000,2,1,1593971382,1729448233,0
LTE,272,3,40052,10498571,0,-6.2653,53.351,1000,5,1,1593971447,1729358767,0
LTE,272,3,40052,10498633,0,-6.2676,53.3482,1000,5,1,1594053840,1729358767,0
LTE,272,3,40052,10699275,0,-6.2582,53.3632,7403,5,1,1594054025,1737933668,0
LTE,272,3,40052,10520834,0,-6.259,53.3472,1000,4,1,1594057627,1729358765,0
LTE,272,3,40052,10507265,0,-6.2656,53.3505,1000,2,1,1594058367,1729448233,0
LTE,272,5,41900,130560,-1,-7.9606,53.429,5897,75,1,1597387257,1711034837,0
LTE,272,5,41900,784671,-1,-7.8967,53.4236,1000,26,1,1597387512,1711034837,0
LTE,272,5,41900,784647,-1,-7.8984,53.4249,1000,38,1,1597387635,1711034776,0
LTE,272,5,41000,792838,-1,-6.5456,53.3615,1029,50,1,1597471165,1729285034,0
LTE,272,5,41001,786696,-1,-6.5264,53.3592,725,50,1,1597471205,1729285034,0
LTE,272,5,41002,92416,-1,-6.4557,53.3528,588,33,1,1597471365,1729285035,0
LTE,272,5,41002,797696,-1,-6.4412,53.3519,838,26,1,1597471395,1729285035,0
LTE,272,5,41002,929287,-1,-6.4246,53.3576,1000,9,1,1597471445,1711034848,0
LTE,272,5,40501,66049,-1,-6.3699,53.3545,1000,42,1,1597471585,1711034848,0
LTE,272,5,40100,855553,-1,-6.3065,53.3439,1000,10,1,1597471835,1711034765,0
LTE,272,5,40100,499714,-1,-6.3023,53.345,1000,16,1,1597471845,1711034765,0
LTE,272,5,40100,499733,-1,-6.2964,53.3461,1000,15,1,1597471875,1711034765,0
