population,lon,lat,elevation,tower_height,coverage_km,path_loss,tx_power,cluster,x,y
39967.08166503906,-8.48472167987614,51.896227935830815,5.0,30.25,2.605,153.78408991992166,-23.784089919921655,4,,
5753.837905883789,-8.444297492090762,51.9250230185819,129.0,36.45,2.729,153.14473026730212,-23.144730267302123,4,,
21726.456176757812,-8.444297492090762,51.86741438753988,39.0,31.95,2.6390000000000002,153.58862119579783,-23.588621195797828,4,,
14674.18741607666,-8.383661210412692,51.8241594322677,23.0,31.15,2.623,153.67846858399116,-23.67846858399116,4,,
5670.744583129883,-8.403873304305383,51.9250230185819,81.0,34.05,2.681,153.36931603784168,-23.369316037841685,4,,
12213.301727294922,-8.58578214933959,51.88182347016256,24.0,31.2,2.624,153.67274430975488,-23.672744309754876,4,,
3225.45352935791,-8.525145867661518,51.86741438753988,48.0,32.4,2.648,153.53966866443756,-23.539668664437556,4,,
2438.1672191619873,-8.323024928734625,51.86741438753988,57.0,32.85,2.657,153.49181385289424,-23.49181385289424,4,,
10260.61120223999,-8.262388647056557,51.91062778511386,10.0,30.5,2.61,153.7542510776544,-23.754251077654402,4,,
13109.236419677734,-8.626206337124964,51.88182347016256,29.0,31.45,2.629,153.6443431540358,-23.644343154035795,4,,
15151.774475097656,-8.50493377376883,51.91062778511386,140.0,37.0,2.74,153.09676406458553,-23.09676406458553,4,,
7518.188819885254,-8.747478900481099,51.73752478755251,36.0,31.8,2.636,153.6051886752748,-23.605188675274803,4,,
1805.4296073913574,-8.888963557729923,51.63624069911901,76.0,33.8,2.676,153.39424213187348,-23.394242131873483,4,,
2996.813507080078,-8.20175236537849,51.9250230185819,22.0,31.1,2.622,153.68420766270668,-23.684207662706683,4,,
8406.423049926758,-8.48472167987614,51.86741438753988,55.0,32.75,2.6550000000000002,153.50235513744352,-23.502355137443516,4,,
10042.111557006836,-8.403873304305383,51.80973187615474,40.0,32.0,2.64,153.58312673752755,-23.58312673752755,4,,
1806.3687472343445,-8.96981193330068,51.896227935830815,139.0,36.95,2.739,153.10107393411198,-23.10107393411198,4,,
1147.1757469177246,-8.565570055446898,51.9250230185819,34.0,31.7,2.634,153.61630424571135,-23.616304245711348,4,,
3472.5522384643555,-8.343237022627317,51.853000687394506,83.0,34.15,2.683,153.3594306490673,-23.359430649067292,4,,
25186.202880859375,-8.464509585983452,51.91062778511386,73.0,33.65,2.673,153.40934522346922,-23.409345223469217,4,,
4716.898498535156,-8.605994243232274,51.9250230185819,30.0,31.5,2.63,153.638706599292,-23.638706599291993,4,,
2693.2157821655273,-9.434690092832533,51.67967591339227,55.0,32.75,2.6550000000000002,153.50235513744352,-23.502355137443516,4,,
696.826114654541,-9.27299334169102,51.53472991338745,37.0,31.85,2.637,153.59965211516342,-23.599652115163423,4,,
12059.428405761719,-8.302812834841937,51.853000687394506,77.0,33.85,2.677,153.3892324504357,-23.389232450435713,4,,
2379.4999084472656,-9.596386843974045,51.88182347016256,24.0,31.2,2.624,153.67274430975488,-23.672744309754876,4,,
2508.9044647216797,-8.343237022627317,51.91062778511386,6.0,30.3,2.606,153.77809076621367,-23.778090766213666,4,,
505.8371686935425,-8.48472167987614,51.75197544821728,36.0,31.8,2.636,153.6051886752748,-23.605188675274803,4,,
2149.211437225342,-8.20175236537849,51.83858236915921,66.0,33.3,2.666,153.44502309437226,-23.44502309437226,4,,
1715.4329299926758,-9.495326374510599,52.04001878573521,26.0,31.3,2.626,153.66133996230738,-23.66133996230738,4,,
2994.945755004883,-8.545357961554208,51.88182347016256,21.0,31.05,2.621,153.68996159933582,-23.689961599335817,4,,
2715.7270889282227,-8.302812834841937,51.79529970025602,71.0,33.55,2.671,153.41947607416336,-23.419476074163356,4,,
712.0828857421875,-8.666630524910344,51.88182347016256,41.0,32.05,2.641,153.57764621458836,-23.577646214588356,4,,
14319.0927734375,-8.403873304305383,51.86741438753988,75.0,33.75,2.675,153.39926412686032,-23.399264126860317,4,,
1068.664695739746,-8.727266806588407,51.86741438753988,41.0,32.05,2.641,153.57764621458836,-23.577646214588356,4,,
982.7431402206421,-9.111296590549506,51.70860959788775,68.0,33.4,2.668,153.43476637717472,-23.434766377174725,4,,
1985.243713378906,-8.525145867661518,51.982557805742644,181.0,39.05,2.7809999999999997,152.92833741351808,-22.92833741351808,4,,
1538.5635290145874,-8.666630524910344,51.76642148684909,26.0,31.3,2.626,153.66133996230738,-23.66133996230738,4,,
1499.011131286621,-9.919780346257074,51.65072372961951,13.0,30.65,2.613,153.73653447832862,-23.736534478328622,4,,
772.2332954406738,-8.58578214933959,51.79529970025602,63.0,33.15,2.6630000000000003,153.46050380530434,-23.46050380530434,4,,
1782.0556049346924,-8.605994243232274,52.01129751933061,143.0,37.15,2.743,153.08389440806238,-23.083894408062378,4,,
575.9154968261719,-8.707054712695722,51.73752478755251,47.0,32.35,2.6470000000000002,153.54505299640587,-23.54505299640587,4,,
1224.6799087524414,-8.464509585983452,51.8241594322677,43.0,32.15,2.643,153.56672677929907,-23.566726779299074,4,,
681.9012565612793,-8.707054712695722,51.62175304213901,28.0,31.4,2.628,153.64999419816496,-23.64999419816496,4,,
761.0818061828612,-8.626206337124964,51.79529970025602,45.0,32.25,2.645,153.55586250147724,-23.555862501477236,4,,
1035.1321773529053,-8.444297492090762,51.95379964035875,140.0,37.0,2.74,153.09676406458553,-23.09676406458553,4,,
1253.3608436584473,-8.949599839407993,51.73752478755251,51.0,32.55,2.651,153.52359678404613,-23.523596784046134,4,,
584.7185678482056,-9.151720778334882,51.563756138413176,74.0,33.7,2.674,153.40429847684527,-23.40429847684527,4,,
832.9545269012452,-8.727266806588407,51.9250230185819,89.0,34.45,2.689,153.33006189937663,-23.33006189937663,4,,
511.17565536499023,-8.565570055446898,51.83858236915921,107.0,35.35,2.707,153.24446975954467,-23.24446975954467,4,,
3948.5213508605957,-8.383661210412692,51.93941363680615,52.0,32.6,2.652,153.51826637296963,-23.518266372969634,4,,
994.0541772842407,-8.58578214933959,51.73752478755251,84.0,34.2,2.684,153.3545060177692,-23.35450601776921,4,,
896.0363292694092,-8.48472167987614,51.982557805742644,144.0,37.2,2.744,153.07962440333193,-23.079624403331934,4,,
1390.9214477539062,-8.76769099437379,51.63624069911901,5.0,30.25,2.605,153.78408991992166,-23.784089919921655,4,,
629.7182369232178,-9.05066030887144,51.578262306814075,97.0,34.85,2.697,153.29156248594998,-23.29156248594998,4,,
973.6103982925415,-9.25278124779833,51.66520213419281,70.0,33.5,2.67,153.42456026248456,-23.42456026248456,4,,
1088.552719116211,-8.424085398198073,52.05437250268946,151.0,37.55,2.751,153.05000956118562,-23.050009561185618,4,,
710.9055728912354,-8.525145867661518,51.80973187615474,49.0,32.45,2.649,153.5342978830571,-23.534297883057093,4,,
1746.672924041748,-8.525145867661518,51.9250230185819,93.0,34.65,2.693,153.31071909352238,-23.31071909352238,4,,
1093.9632663726807,-8.787903088266475,51.853000687394506,49.0,32.45,2.649,153.5342978830571,-23.534297883057093,4,,
1085.6160011291504,-9.151720778334882,51.93941363680615,120.0,36.0,2.7199999999999998,153.1849062257924,-23.18490622579239,4,,
771.6749153137207,-8.343237022627317,51.96818102981287,104.0,35.2,2.704,153.25847918503456,-23.25847918503456,4,,
1355.0629253387451,-8.727266806588407,52.04001878573521,196.0,39.8,2.796,152.87053062511475,-22.870530625114753,4,,
4033.5836811065674,-8.909175651622613,51.62175304213901,12.0,30.6,2.612,153.7424245853753,-23.74242458537529,4,,
