population,lon,lat,elevation,tower_height,max_distance_km,path_loss,tx_power
14093.40478515625,-8.474438887952555,51.893383323240826,24.0,31.2,2.624,153.67274430975488,-23.672744309754876
6841.2149658203125,-8.434014700167175,51.88378025121842,11.0,30.55,2.6109999999999998,153.74833009966042,-23.74833009966042
6024.364990234375,-8.514863075737932,51.88378025121842,37.0,31.85,2.637,153.59965211516342,-23.599652115163423
13046.099731445312,-8.393590512381795,51.816501283169636,12.0,30.6,2.612,153.7424245853753,-23.74242458537529
2481.6322021484375,-8.40706524164359,51.88378025121842,13.0,30.65,2.613,153.73653447832862,-23.736534478328622
2966.74267578125,-8.177994844193114,51.91258331212413,11.0,30.55,2.6109999999999998,153.74833009966042,-23.74833009966042
3095.3486328125,-8.434014700167175,51.922180229322905,102.0,35.1,2.702,153.2678748737137,-23.26787487371371
10916.06103515625,-8.31274213681104,51.854958722805016,85.0,34.25,2.685,153.34959337519567,-23.349593375195667
7803.320892333984,-8.59571145130869,51.88378025121842,26.0,31.3,2.626,153.66133996230738,-23.66133996230738
5255.600830078125,-8.649610368355859,52.13279373823722,50.0,32.5,2.65,153.52894060520484,-23.528940605204838
7816.9136962890625,-8.393590512381795,51.931775095252014,23.0,31.15,2.623,153.67846858399116,-23.67846858399116
5044.776916503906,-9.498518311848807,52.06588793017615,48.0,32.4,2.648,153.53966866443756,-23.539668664437556
5778.5205078125,-8.48791361721435,51.922180229322905,23.0,31.15,2.623,153.67846858399116,-23.67846858399116
6695.8045654296875,-8.258843219763872,51.91258331212413,15.0,30.75,2.615,153.72480026149307,-23.724800261493073
3156.611328125,-8.74393347318841,51.73948784345041,28.0,31.4,2.628,153.64999419816496,-23.64999419816496
4370.737747192383,-8.285792678287455,52.142343519440566,55.0,32.75,2.6550000000000002,153.50235513744352,-23.502355137443516
6000.0482177734375,-8.528337804999724,51.70093182206713,22.0,31.1,2.622,153.68420766270668,-23.684207662706683
4726.2587890625,-8.460964158690762,51.86456795116887,93.0,34.65,2.693,153.31071909352238,-23.31071909352238
723.90869140625,-8.555287263523313,51.8741751272506,15.0,30.75,2.615,153.72480026149307,-23.724800261493073
1229.4990768432617,-8.636135639094066,51.8741751272506,33.0,31.65,2.633,153.62188335651234,-23.621883356512342
999.6172866821289,-8.353166324596419,51.86456795116887,123.0,36.15,2.723,153.1714194778463,-23.171419477846314
1131.064712524414,-8.892155495068131,51.633379656487115,88.0,34.4,2.6879999999999997,153.33492698298755,-23.334926982987554
1656.5148315429688,-8.285792678287455,51.7972602452986,37.0,31.85,2.637,153.59965211516342,-23.599652115163423
982.1466026306152,-8.582236722046897,51.931775095252014,29.0,31.45,2.629,153.6443431540358,-23.644343154035795
1177.268180847168,-8.959529141377095,51.91258331212413,83.0,34.15,2.683,153.3594306490673,-23.359430649067292
1159.3957061767578,-9.269447914398329,51.55605380263195,5.0,30.25,2.605,153.78408991992166,-23.784089919921655
665.2101383209229,-8.460964158690762,51.9413679100809,77.0,33.85,2.677,153.3892324504357,-23.389232450435713
3088.9146728515625,-8.905630224329924,52.18052217275242,98.0,34.9,2.698,153.28680214210465,-23.286802142104648
710.7713012695312,-8.21841903197849,51.84534744199091,0.0,30.0,2.6,153.8143239927911,-23.81432399279109
2494.777618408203,-9.444619394801634,51.68164148136007,40.0,32.0,2.64,153.58312673752755,-23.58312673752755
1023.5827026367188,-9.781487626346458,52.11368803316378,7.0,30.35,2.607,153.77210736291062,-23.772107362910617
2021.7791442871094,-9.592841416681356,51.88378025121843,15.0,30.75,2.615,153.72480026149307,-23.724800261493073
5844.357421875,-8.285792678287455,51.854958722805016,78.0,33.9,2.678,153.38423504128852,-23.38423504128852
760.6520118713379,-8.285792678287455,52.06588793017615,46.0,32.3,2.646,153.55045092624792,-23.55045092624792
1498.2854614257812,-8.339691595334626,51.91258331212413,40.0,32.0,2.64,153.58312673752755,-23.58312673752755
1682.4182205200195,-9.053852246209646,52.05632176414451,147.0,37.35,2.747,153.06687360150315,-23.066873601503147
1314.6353302001953,-8.137570656407734,51.86456795116887,21.0,31.05,2.621,153.68996159933582,-23.689961599335817
771.1684188842772,-8.245368490502074,52.170980579801636,64.0,33.2,2.664,153.45533075901415,-23.455330759014146
