lat,lon,population,elevation,snr_proxy,tower_height,tx_power_dbm,env,cluster,band,cov_radius_km
51.905556580588,-8.48791361721435,17944.871337890625,79.0,0.6,28.95,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.474438887952555,14093.40478515625,5.0,0.4,25.25,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.48791361721435,11344.369384765625,22.0,0.4,26.1,22.0,rural,-1,700MHz,0.0
51.867142387514605,-8.434014700167175,10985.372802734375,36.0,0.4,26.8,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.447489429428968,9890.390991210938,7.0,0.4,25.35,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.474438887952555,9669.825561523438,19.0,0.4,25.95,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.59571145130869,9473.80517578125,29.0,0.4,26.45,22.0,rural,-1,700MHz,0.0
51.867142387514605,-8.40706524164359,9410.5791015625,82.0,0.6,29.1,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.447489429428968,9120.337890625,52.0,0.6,27.6,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.420539970905384,8321.5673828125,17.0,0.4,25.85,22.0,rural,-1,700MHz,0.0
51.924751367073846,-8.460964158690762,8233.681335449219,85.0,0.6,29.25,23.0,rural,-1,700MHz,0.0
51.88635358785174,-8.622660909832273,7907.93701171875,45.0,0.4,27.25,22.0,rural,-1,700MHz,0.0
51.934345683395655,-8.393590512381795,7816.9136962890625,62.0,0.6,28.1,23.0,rural,-1,700MHz,0.0
51.905556580588,-8.514863075737932,7492.082962036133,121.0,0.6,31.05,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.447489429428968,7407.3350830078125,4.0,0.4,25.2,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.258843219763872,7289.485412597656,9.0,0.4,25.45,22.0,rural,-1,700MHz,0.0
51.905556580588,-8.460964158690762,7131.310791015625,78.0,0.6,28.9,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.164520114931317,6629.311492919922,12.0,0.4,25.6,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.420539970905384,5954.118560791016,114.0,0.6,30.7,23.0,rural,-1,700MHz,0.0
51.88635358785174,-8.460964158690762,5815.519775390625,14.0,0.4,25.7,22.0,rural,-1,700MHz,0.0
52.05888521154661,-9.511993041110598,5634.125244140625,28.0,0.4,26.4,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.50138834647614,5620.7392578125,12.0,0.4,25.6,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.514863075737932,5579.7119140625,38.0,0.4,26.9,22.0,rural,-1,700MHz,0.0
51.905556580588,-8.164520114931317,5576.574981689453,24.0,0.4,26.2,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.50138834647614,5459.078872680664,105.0,0.6,30.25,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.177994844193114,5338.789306640625,11.0,0.4,25.55,22.0,rural,-1,700MHz,0.0
51.867142387514605,-8.460964158690762,5023.6749267578125,71.0,0.6,28.55,23.0,rural,-1,700MHz,0.0
52.04931754564753,-9.498518311848807,4778.878204345703,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.528337804999724,4745.414794921875,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.924751367073846,-8.48791361721435,4556.797256469727,44.0,0.4,27.2,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.40706524164359,4372.933349609375,18.0,0.4,25.9,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.474438887952555,4243.2325439453125,9.0,0.4,25.45,22.0,rural,-1,700MHz,0.0
51.867142387514605,-8.353166324596419,4140.961120605469,102.0,0.6,30.1,23.0,rural,-1,700MHz,0.0
51.88635358785174,-8.434014700167175,4124.981201171875,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.88635358785174,-8.568761992785104,3848.6477813720703,29.0,0.4,26.45,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.420539970905384,3719.3668212890625,12.0,0.4,25.6,22.0,rural,-1,700MHz,0.0
51.89595611008564,-8.393590512381795,3600.0262451171875,3.0,0.4,25.15,22.0,rural,-1,700MHz,0.0
52.125801515143465,-8.636135639094066,3360.1402282714844,74.0,0.6,28.7,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.380115783120004,3281.694549560547,55.0,0.6,27.75,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.434014700167175,3273.676239013672,114.0,0.6,30.7,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.50138834647614,3244.708251953125,7.0,0.4,25.35,22.0,rural,-1,700MHz,0.0
52.125801515143465,-8.285792678287455,3225.2309284210205,70.0,0.6,28.5,23.0,rural,-1,700MHz,0.0
52.13535279520219,-8.622660909832273,3010.119638442993,66.0,0.6,28.3,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.393590512381795,2930.7923431396484,41.0,0.4,27.05,22.0,rural,-1,700MHz,0.0
52.13535279520219,-8.272317949025663,2898.4158325195312,59.0,0.6,27.95,23.0,rural,-1,700MHz,0.0
51.87674901371756,-8.60918618057048,2773.3065185546875,23.0,0.4,26.15,22.0,rural,-1,700MHz,0.0
52.07801439701498,-8.272317949025663,2652.881851196289,51.0,0.6,27.55,23.0,rural,-1,700MHz,0.0
52.05888521154661,-9.485043582587018,2588.0213012695312,49.0,0.4,27.45,22.0,rural,-1,700MHz,0.0
51.924751367073846,-8.191469573454905,2462.6759033203125,14.0,0.4,25.7,22.0,rural,-1,700MHz,0.0
51.85753370907457,-8.285792678287455,2438.473876953125,85.0,0.6,29.25,23.0,rural,-1,700MHz,0.0
51.934345683395655,-8.555287263523313,2413.639404296875,62.0,0.6,28.1,23.0,rural,-1,700MHz,0.0
51.934345683395655,-8.60918618057048,2397.29856300354,98.0,0.6,29.9,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.582236722046897,2395.7840270996094,10.0,0.4,25.5,22.0,rural,-1,700MHz,0.0
52.10669281197843,-9.794962355608249,2393.6705322265625,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.924751367073846,-8.59571145130869,2311.6090545654297,24.0,0.4,26.2,22.0,rural,-1,700MHz,0.0
51.934345683395655,-8.177994844193114,2301.750289916992,21.0,0.4,26.05,22.0,rural,-1,700MHz,0.0
52.05888521154661,-9.053852246209646,2275.7007751464844,132.0,0.6,31.6,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.40706524164359,2189.6472930908203,97.0,0.6,29.85,23.0,rural,-1,700MHz,0.0
51.905556580588,-8.97300387063889,2169.148681640625,86.0,0.6,29.3,23.0,rural,-1,700MHz,0.0
52.125801515143465,-8.663085097617651,2115.834991455078,58.0,0.6,27.9,23.0,rural,-1,700MHz,0.0
51.87674901371756,-8.393590512381795,2093.0140991210938,13.0,0.4,25.65,22.0,rural,-1,700MHz,0.0
52.14490202780964,-9.71411398003749,2054.9651794433594,28.0,0.4,26.4,22.0,rural,-1,700MHz,0.0
51.905556580588,-8.434014700167175,2054.000732421875,80.0,0.6,29.0,23.0,rural,-1,700MHz,0.0
52.106692811978434,-8.69003455614124,1958.496337890625,106.0,0.6,30.3,23.0,rural,-1,700MHz,0.0
52.13535279520219,-8.649610368355859,1951.1709594726562,47.0,0.4,27.35,22.0,rural,-1,700MHz,0.0
51.905556580588,-8.9460544121153,1948.1025047302246,69.0,0.6,28.45,23.0,rural,-1,700MHz,0.0
52.14490202780964,-8.636135639094066,1922.2623596191406,67.0,0.6,28.35,23.0,rural,-1,700MHz,0.0
52.11624818745999,-8.649610368355859,1819.293270111084,106.0,0.6,30.3,23.0,rural,-1,700MHz,0.0
52.173537442662635,-8.919104953591717,1779.9469375610352,111.0,0.6,30.55,23.0,rural,-1,700MHz,0.0
52.01102639027426,-8.339691595334626,1686.6335678100586,169.0,0.8,33.45,24.0,rural,-1,700MHz,0.0
51.867142387514605,-8.541812534261519,1683.7773895263672,48.0,0.4,27.4,22.0,rural,-1,700MHz,0.0
51.867142387514605,-8.649610368355859,1658.7779541015625,49.0,0.4,27.45,22.0,rural,-1,700MHz,0.0
52.18307848720411,-8.905630224329924,1654.7804870605469,97.0,0.6,29.85,23.0,rural,-1,700MHz,0.0
51.924751367073846,-8.514863075737932,1633.4208316802979,74.0,0.6,28.7,23.0,rural,-1,700MHz,0.0
52.1544492131396,-8.622660909832273,1605.9638900756836,74.0,0.6,28.7,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.204944302716697,1538.1104316711426,13.0,0.4,25.65,22.0,rural,-1,700MHz,0.0
51.9439379486627,-8.40706524164359,1531.567153930664,96.0,0.6,29.8,23.0,rural,-1,700MHz,0.0
52.14490202780964,-8.285792678287455,1530.7599639892578,56.0,0.6,27.8,23.0,rural,-1,700MHz,0.0
52.18307848720411,-8.231893761240281,1518.2326641082764,69.0,0.6,28.45,23.0,rural,-1,700MHz,0.0
51.98228650257914,-8.514863075737932,1490.8031005859373,184.0,0.8,34.2,24.0,rural,-1,700MHz,0.0
52.14490202780964,-8.663085097617651,1489.4679374694824,89.0,0.6,29.45,23.0,rural,-1,700MHz,0.0
51.876749013717536,-9.579366687419565,1488.0155792236328,5.0,0.4,25.25,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.986478599900678,1478.2901306152344,102.0,0.6,30.1,23.0,rural,-1,700MHz,0.0
51.867142387514605,-8.514863075737932,1463.6293640136719,72.0,0.6,28.6,23.0,rural,-1,700MHz,0.0
51.867142387514605,-8.380115783120004,1455.3753662109375,88.0,0.6,29.4,23.0,rural,-1,700MHz,0.0
51.867142387514605,-8.48791361721435,1421.6290283203125,70.0,0.6,28.5,23.0,rural,-1,700MHz,0.0
51.9151549995277,-8.339691595334626,1418.1188049316406,70.0,0.6,28.5,23.0,rural,-1,700MHz,0.0
52.01102639027426,-8.60918618057048,1365.1341552734375,157.0,0.8,32.85,24.0,rural,-1,700MHz,0.0
51.87674901371756,-8.582236722046897,1360.1582641601562,20.0,0.4,26.0,22.0,rural,-1,700MHz,0.0
52.173537442662635,-8.892155495068131,1358.7208061218262,106.0,0.6,30.3,23.0,rural,-1,700MHz,0.0
51.905556580588,-8.353166324596419,1346.9259643554688,6.0,0.4,25.3,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.959529141377095,1210.8949871063232,99.0,0.6,29.95,23.0,rural,-1,700MHz,0.0
52.14490202780964,-8.393590512381795,1185.3848876953125,62.0,0.6,28.1,23.0,rural,-1,700MHz,0.0
51.89595611008564,-8.555287263523313,1175.4846649169922,26.0,0.4,26.3,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.60918618057048,1136.7172203063965,51.0,0.6,27.55,23.0,rural,-1,700MHz,0.0
52.04931754564751,-8.420539970905384,1122.489336013794,160.0,0.8,33.0,24.0,rural,-1,700MHz,0.0
51.934345683395655,-8.50138834647614,1108.2401428222656,119.0,0.6,30.95,23.0,rural,-1,700MHz,0.0
51.88635358785172,-9.592841416681356,1090.194091796875,19.0,0.4,25.95,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.151045385669525,1087.2769012451172,12.0,0.4,25.6,22.0,rural,-1,700MHz,0.0
52.06845082861171,-9.498518311848807,1004.0147247314453,50.0,0.6,27.5,23.0,rural,-1,700MHz,0.0
52.173537442662635,-8.245368490502074,1003.2436599731444,60.0,0.6,28.0,23.0,rural,-1,700MHz,0.0
51.87674901371756,-8.636135639094066,983.1475524902344,34.0,0.4,26.7,22.0,rural,-1,700MHz,0.0
52.173537442662635,-9.592841416681356,968.9639282226561,22.0,0.4,26.1,22.0,rural,-1,700MHz,0.0
52.06845082861171,-9.52546777037239,959.4166259765625,41.0,0.4,27.05,22.0,rural,-1,700MHz,0.0
51.9151549995277,-8.285792678287455,947.7414779663086,22.0,0.4,26.1,22.0,rural,-1,700MHz,0.0
52.10669281197843,-9.76801289708466,932.1456756591797,37.0,0.4,26.85,22.0,rural,-1,700MHz,0.0
52.19261748516475,-8.353166324596419,923.1877365112305,43.0,0.4,27.15,22.0,rural,-1,700MHz,0.0
51.953528163044595,-8.420539970905384,879.4136810302736,83.0,0.6,29.15,23.0,rural,-1,700MHz,0.0
52.097135388525686,-8.110621197884148,871.9499359130859,28.0,0.4,26.4,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.339691595334626,857.6978607177734,0.0,0.4,25.0,22.0,rural,-1,700MHz,0.0
51.87674901371756,-8.663085097617651,844.3050079345703,40.0,0.4,27.0,22.0,rural,-1,700MHz,0.0
52.14490202780964,-8.231893761240281,818.5471525192261,45.0,0.4,27.25,22.0,rural,-1,700MHz,0.0
