lat,lon,population,elevation,snr,tower_height,tx_power_dbm,coverage_km,type,cluster
51.88541169836447,-8.481176252583449,56044.274353027344,34.0,0.4,26.7,22.0,2.3642927703415566,Urban,-1
51.909414660062176,-8.447489429428966,48063.78039550781,111.0,0.6,30.55,23.0,2.8228590838086443,Urban,-1
51.88541169836447,-8.413802606274487,42835.95623779297,15.0,0.4,25.75,22.0,2.3534362910302744,Urban,-1
52.267921959757885,-9.6939018861448,26940.33465576172,,0.4,,22.0,2.07,Urban,-1
51.909414660062176,-8.514863075737932,21628.875337600708,110.0,0.6,30.5,23.0,2.8222828698708966,Urban,-1
51.88541169836447,-8.615923545201378,21527.89580154419,36.0,0.4,26.8,22.0,2.365413007879864,Urban,-1
51.909414660062176,-8.17799484419311,21362.61451816559,1.0,0.4,25.05,22.0,2.3451773338402524,Urban,-1
51.8613959121873,-8.447489429428966,19827.864135742188,67.0,0.6,28.35,23.0,2.7965679812154294,Urban,-1
51.88541169836447,-8.548549898892414,12676.76734161377,26.0,0.4,26.3,22.0,2.3597694664579327,Urban,-1
52.148739514761985,-8.64961036835586,12620.919703483582,107.0,0.6,30.35,23.0,2.820548543283134,Urban,-1
51.93340479991839,-8.413802606274487,11571.303039550781,105.0,0.6,30.25,23.0,2.8193875569806752,Urban,-1
51.909414660062176,-8.245368490502077,11406.604197502136,18.0,0.4,25.9,22.0,2.3551768372160637,Urban,-1
52.05316326443565,-9.525467770372392,9046.42909026146,28.0,0.4,26.4,22.0,2.360906709540183,Urban,-1
51.93340479991839,-8.481176252583449,8723.583374023438,86.0,0.6,29.3,23.0,2.808162772486829,Urban,-1
52.124864651524895,-8.27905531365656,8715.936681747437,63.0,0.6,28.15,23.0,2.7940775033417657,Urban,-1
51.8613959121873,-8.514863075737932,8007.757263183594,95.0,0.6,29.75,23.0,2.8135244457523005,Urban,-1
52.267921959757885,-8.27905531365656,7616.35179233551,,0.4,,22.0,2.07,Urban,-1
52.124864651524895,-8.615923545201378,7350.711574554443,97.0,0.6,29.85,23.0,2.814704911726964,Urban,-1
51.88541169836447,-8.346428959965522,7298.769156932831,0.0,0.4,25.0,22.0,2.3445786059837057,Urban,-1
51.8613959121873,-8.380115783120003,7107.467590332031,130.0,0.6,31.5,23.0,2.8336315485695764,Urban,-1
52.36303783477683,-8.683297191510343,6938.095529556274,,0.4,,22.0,2.07,Urban,-1
52.29172009366629,-9.727588709299283,6612.1093826293945,,0.4,,22.0,2.07,Urban,-1
